原因,関係,結果
急な予約な上にそんなに時間に余裕があるわけでもなかったのに、,逆接,ありがたかったです
新規でカットとカラーをお願いしましたが、,逆接,ありがとうございました
立て込んでおりますので、,原因・理由,2月は次は3月にお願いするかと思います
髪色を少し迷っていましたが、,逆接,とても気持ちよかったです
聞かれたり書いたりしますが、,逆接,大体カルテとか今までの履歴とか一切聞かれませんでした
それは全く問題ないのですが、,逆接,前髪はアイロンで少し巻いていました
お願いしましたが、,逆接,まばらに長さもバラバラです
お願いしましたが、,逆接,とても不快でした
カラーも暗くして欲しいと頼みましたが,逆接,大した不満が募るばかりでした
しまいにはアイロンしますか?と言われたので,原因・理由,お願いしますと
この後出かけるので,原因・理由,巻いて欲しいとお願いしたらもう真っ直ぐにしちゃったから微妙になるけど
巻いて欲しいとお願いしたらもう真っ直ぐにしちゃったから微妙になるけど,逆接,もう諦めました
カットの自慢しなくていいので,原因・理由,頼んだ通りにしてください
不安でしたが、,逆接,ありがとうございました相談してよかったですイメチェンできましたまたよろしくお願いいたします
初めてのパーマで緊張していましたが、,逆接,仕上がりが最高でしたぜひまたパーマかけてもらいたいですまた、
大変申し訳ございませんが、,逆接,全て大変満足でした
初の短髪ですが、,逆接,髪形です
久々にカットとパーマをしましたが,逆接,最高の一言です
カラーを色にしてもらいましたが、,逆接,とても気に入ってます
髪を暗めにしないといけなかったので,原因・理由,とても助かりました
初めてで緊張もあったのですが,逆接,リラックスして過ごせました
カットの際に今の髪の状況や上での工夫、メリット・デメリットなど詳しく教えていただくことができたので,原因・理由,また、不安なく安心して任せられました
リタッチと迷いましたが、,逆接,今回は全体染めにしました
担当して頂いた方は2回目でしたが、,逆接,ありがたく思いました
初めて来店しましたが,逆接,総合的にとても良かったです
